timeStamp     linear.x           linear.y                 linear.z                      angular.x                            angular.y                                  angular.z
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.21         0.21               0.21                     0.21                           0.21                                 0.21                                       0.21
  0.21         0.21               0.21                     0.21                           0.21                                 0.21                                       0.21
  0.21         0.21               0.21                     0.21                           0.21                                 0.21                                       0.21
  0.21         0.21               0.21                     0.23                           0.23                                 0.23                                       0.23
  0.23         0.23               0.23                     0.23                           0.23                                 0.23                                       0.23
  0.23         0.23               0.23                     0.23                           0.23                                 0.23                                       0.23
  0.23         0.23               0.23                     0.23                           0.23                                 0.23                                       0.23
  0.23         0.23               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.09               0.09                     0.09                           0.09                                 0.09                                       0.09
  0.09         0.09               0.09                     0.09                           0.09                                 0.09                                       0.09
  0.09         0.09               0.09                     0.09                           0.09                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.01
  0.01         0.01               0.01                     0.01                           0.01                                 0.01                                       0.01
  0.01         0.01               0.01                     0.01                           0.01                                 0.01                                       0.01
  0.01         0.01               0.01                     0.01                           0.01                                 0.00                                       0.00
 -0.02        -0.02              -0.02                    -0.02                          -0.02                                -0.02                                      -0.02
 -0.02        -0.02              -0.02                    -0.02                          -0.02                                -0.02                                      -0.02
 -0.02        -0.02              -0.02                    -0.02                          -0.02                                -0.02                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.32
  0.32         0.32               0.32                     0.32                           0.32                                 0.32                                       0.32
  0.32         0.32               0.32                     0.32                           0.32                                 0.32                                       0.32
  0.32         0.32               0.32                     0.32                           0.32                                 0.32                                       0.32
  0.32         0.32               0.30                     0.30                           0.30                                 0.30                                       0.30
  0.30         0.30               0.30                     0.30                           0.30                                 0.30                                       0.30
  0.30         0.30               0.30                     0.30                           0.30                                 0.30                                       0.30
  0.30         0.30               0.30                     0.30                           0.30                                 0.30                                       0.30
  0.30         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
