linear.x    angular.x 
  0.00         0.00 
 -0.00        -0.00 
  0.00         0.00 
  0.00        -0.00 
  0.00        -0.00 
  0.00         0.00 
 -0.00         0.00 
  0.00         0.00 
  0.00         0.00 
  0.00        -0.00 
 -0.00         0.00 
  0.00         0.01 
  0.00         0.01 
  0.00         0.00 
  0.00         0.00 
  0.00         0.00 
 -0.00        -0.14 
 -0.21        -0.22 
 -0.22        -0.22 
 -0.22        -0.22 
 -0.22        -0.22 
 -0.22        -0.22 
 -0.22        -0.22 
 -0.22        -0.22 
 -0.22        -0.22 
 -0.22        -0.22 
 -0.14        -0.20 
 -0.21        -0.20 
 -0.21        -0.21 
 -0.20        -0.21 
 -0.20        -0.21 
 -0.21        -0.21 
 -0.21        -0.20 
 -0.21        -0.21 
 -0.21        -0.21 
 -0.21        -0.21 
  0.00         0.00 
  0.00         0.00 
 -0.00        -0.16 
 -0.24        -0.24 
 -0.25        -0.24 
 -0.24        -0.24 
 -0.24        -0.24 
 -0.24        -0.25 
 -0.24        -0.24 
 -0.24        -0.24 
 -0.24        -0.24 
 -0.24        -0.24 
 -0.24         0.00 
  0.00         0.00 
  0.00         0.00 
  0.00         0.00 
  0.00         0.01 
  0.00         0.01 
 -0.09        -0.14 
 -0.14        -0.14 
 -0.14        -0.14 
 -0.14        -0.14 
 -0.14        -0.14 
 -0.14        -0.14 
 -0.14         0.00 
 -0.00        -0.00 
  0.00         0.00 
 -0.00        -0.00 
 -0.04        -0.06 
 -0.06        -0.06 
 -0.06        -0.06 
 -0.06        -0.06 
 -0.06        -0.06 
 -0.06        -0.06 
 -0.06        -0.06 
 -0.06        -0.00 
  0.00         0.00 
 -0.00         0.00 
  0.00        -0.00 
  0.00         0.00 
  0.00         0.00 
 -0.00        -0.00 
  0.00         0.00 
  0.00         0.00 
  0.00         0.00 
  0.01         0.00 
  0.00        -0.00 
 -0.01        -0.00 
 -0.00        -0.00 
 -0.00        -0.01 
 -0.01        -0.00 
 -0.00         0.00 
 -0.17        -0.27 
 -0.27        -0.27 
 -0.27        -0.27 
 -0.27        -0.27 
 -0.27        -0.27 
 -0.27        -0.27 
 -0.27        -0.27 
 -0.27        -0.27 
 -0.27        -0.27 
 -0.27        -0.18 
 -0.28        -0.28 
 -0.28        -0.28 
 -0.28        -0.28 
 -0.28        -0.28 
 -0.28        -0.28 
 -0.28        -0.28 
 -0.28        -0.28 
 -0.28        -0.28 
 -0.28        -0.28 
 -0.28         0.00 
 -0.00        -0.00 
 -0.00         0.00 
 -0.17        -0.25 
 -0.25        -0.25 
 -0.25        -0.25 
 -0.25        -0.25 
 -0.25        -0.25 
 -0.25        -0.25 
 -0.25        -0.25 
 -0.25        -0.25 
 -0.25        -0.25 
 -0.25        -0.25 
 -0.00         0.00 
  0.00        -0.00 
 -0.00        -0.00 
 -0.00        -0.00 
 -0.00        -0.00 
 -0.00        -0.21 
 -0.32        -0.32 
 -0.32        -0.32 
 -0.32        -0.32 
 -0.32        -0.32 
 -0.32        -0.32 
 -0.32        -0.32 
 -0.00        -0.00 
  0.00        -0.00 
 -0.00         0.00 
 -0.00        -0.24 
 -0.34        -0.35 
 -0.34        -0.35 
 -0.34        -0.34 
 -0.34        -0.34 
 -0.34        -0.34 
 -0.34        -0.35 
 -0.34        -0.34 
