linear.z    angular.z 
 -0.00        -0.01 
 -0.01        -0.00 
 -0.00         0.02 
 -0.00        -0.00 
  0.01        -0.01 
  0.01         0.01 
 -0.00         0.00 
  0.02        -0.00 
  0.01         0.00 
  0.01        -0.01 
  0.00        -0.00 
  0.00        -0.01 
  0.01         0.00 
  0.01         0.00 
  0.00         0.00 
  0.00        -0.01 
  0.00         0.00 
  0.05        -0.02 
  0.03         0.02 
 -0.02         0.03 
 -0.01        -0.01 
  0.02        -0.04 
  0.02         0.01 
 -0.02         0.03 
 -0.01        -0.00 
  0.00        -0.02 
  0.01         0.04 
 -0.01         0.02 
 -0.01        -0.00 
  0.01        -0.02 
  0.02        -0.01 
 -0.02         0.02 
 -0.02         0.02 
  0.01        -0.02 
  0.02        -0.00 
 -0.01         0.02 
  0.01        -0.00 
  0.01         0.01 
 -0.00        -0.04 
 -0.01         0.03 
 -0.03         0.01 
  0.03        -0.01 
  0.00         0.02 
 -0.01         0.01 
 -0.02         0.00 
 -0.00        -0.02 
  0.02        -0.01 
 -0.00         0.02 
 -0.01        -0.01 
  0.00         0.00 
 -0.01        -0.01 
  0.00        -0.00 
  0.00        -0.01 
  0.00        -0.00 
  0.01         0.01 
 -0.01         0.02 
 -0.01        -0.01 
  0.02        -0.01 
  0.01         0.01 
 -0.02         0.01 
 -0.01        -0.00 
 -0.00        -0.00 
  0.01        -0.00 
  0.00        -0.00 
  0.01         0.00 
 -0.01         0.02 
  0.00        -0.01 
  0.01        -0.00 
 -0.01        -0.00 
 -0.00        -0.01 
  0.01         0.01 
 -0.01         0.14 
  0.14         0.15 
  0.15         0.14 
  0.14         0.14 
  0.14         0.14 
  0.15         0.15 
  0.15         0.15 
  0.14         0.14 
  0.13         0.13 
  0.12         0.11 
  0.12         0.13 
  0.12         0.13 
  0.14         0.14 
  0.16         0.14 
  0.15         0.13 
  0.14         0.15 
  0.16         0.16 
 -0.17        -0.01 
 -0.00        -0.00 
  0.00         0.00 
 -0.01        -0.00 
 -0.01        -0.01 
 -0.00        -0.00 
 -0.00        -0.00 
  0.00        -0.01 
 -0.00        -0.00 
 -0.01        -0.23 
 -0.00         0.00 
 -0.01        -0.00 
  0.00        -0.01 
 -0.00         0.01 
  0.00        -0.00 
  0.00        -0.00 
 -0.00        -0.00 
 -0.00        -0.00 
 -0.00         0.00 
 -0.00        -0.14 
 -0.15        -0.15 
 -0.15        -0.14 
 -0.54        -0.00 
 -0.01         0.01 
 -0.00        -0.01 
  0.01        -0.00 
  0.00        -0.00 
  0.01        -0.01 
 -0.00         0.00 
 -0.01        -0.00 
  0.01        -0.01 
 -0.00         0.01 
  0.14         0.14 
  0.14         0.16 
  0.15         0.15 
  0.16         0.16 
  0.16         0.16 
  0.16        -0.38 
  0.00        -0.00 
 -0.00         0.01 
 -0.01        -0.01 
  0.00        -0.01 
 -0.00         0.00 
 -0.00        -0.00 
  0.14         0.14 
  0.14         0.14 
  0.15         0.15 
  0.14        -0.15 
 -0.00        -0.01 
 -0.01         0.00 
 -0.01        -0.01 
  0.01        -0.00 
 -0.01         0.01 
  0.01        -0.01 
  0.00         0.00 
